rule_id,rule_name,infinitive,conjugate
01,-Car : -Có,abacorar,abacoró
01,-Car : -Có,abadernar,abadernó
01,-Car : -Có,abajar,abajó
01,-Car : -Có,abalanzar,abalanzó
01,-Car : -Có,abaldonar,abaldonó
01,-Car : -Có,abaluartar,abaluartó
01,-Car : -Có,abancalar,abancaló
01,-Car : -Có,abanderizar,abanderizó
01,-Car : -Có,abarcar,abarcó
01,-Car : -Có,abarracar,abarracó
01,-Car : -Có,abastar,abastó
01,-Car : -Có,abastardar,abastardó
01,-Car : -Có,abatanar,abatanó
04,-Cir : -Ció,abatir,abatió
01,-Car : -Có,abatojar,abatojó
02,-Var : -Vó,abejear,abejeó
02,-Var : -Vó,abejorrear,abejorreó
01,-Car : -Có,abeldar,abeldó
01,-Car : -Có,abemolar,abemoló
01,-Car : -Có,aberrar,aberró
01,-Car : -Có,abjurar,abjuró
10,-Vir : -Vyó,abluir,abluyó
01,-Car : -Có,abocar,abocó
02,-Var : -Vó,abofetear,abofeteó
01,-Car : -Có,abombar,abombó
01,-Car : -Có,abombar,abombó
01,-Car : -Có,abonar,abonó
01,-Car : -Có,abordar,abordó
01,-Car : -Có,aborregar,aborregó
01,-Car : -Có,abortar,abortó
01,-Car : -Có,abotonar,abotonó
01,-Car : -Có,abovedar,abovedó
01,-Car : -Có,aboyar,aboyó
01,-Car : -Có,abracar,abracó
01,-Car : -Có,abrevar,abrevó
01,-Car : -Có,abribonar,abribonó
04,-Cir : -Ció,abrir,abrió
01,-Car : -Có,abrochar,abrochó
01,-Car : -Có,abrogar,abrogó
01,-Car : -Có,abroncar,abroncó
01,-Car : -Có,absolutizar,absolutizó
03,-Cer : -Ció,absolver,absolvió
03,-Cer : -Ció,absorber,absorbió
01,-Car : -Có,abundar,abundó
01,-Car : -Có,aburguesar,aburguesó
04,-Cir : -Ció,aburrir,aburrió
01,-Car : -Có,aburujar,aburujó
02,-Var : -Vó,acachetear,acacheteó
01,-Car : -Có,academizar,academizó
01,-Car : -Có,acairelar,acaireló
01,-Car : -Có,acampanar,acampanó
01,-Car : -Có,acanalar,acanaló
01,-Car : -Có,acaramelar,acarameló
01,-Car : -Có,acastillar,acastilló
01,-Car : -Có,acaudillar,acaudilló
01,-Car : -Có,accidentar,accidentó
01,-Car : -Có,acedar,acedó
01,-Car : -Có,acensar,acensó
01,-Car : -Có,acerar,aceró
01,-Car : -Có,acetar,acetó
01,-Car : -Có,achaflanar,achaflanó
01,-Car : -Có,achantar,achantó
01,-Car : -Có,achatarrar,achatarró
01,-Car : -Có,achispar,achispó
