	eng	cmn
28414	Your prophecy has come true.	你的预言成真了。
15222	I'm going to miss Tom so much.	我会很想汤姆。
26753	How much does this cost?	这个几块？
16018	Thank you very much for your present.	非常谢谢你的礼物。
16627	How can Tom not understand that?	湯姆怎麼能不懂？
28244	I like red wine better than white wine.	我喜歡紅葡萄酒勝過白葡萄酒。
9006	A card was attached to the gift.	一張卡片被附在了禮物上。
23677	She wrote 5 novels in 5 years.	她在5年里写了5本小说。
6672	My opinion differs from yours.	我的想法和你的不一样。
2214	That hat cost around fifty dollars.	那頂帽子花費了大約五十美元。
20823	School begins at half past eight.	學校八點半開始上課。
7617	It isn't necessary for us to attend this lecture.	我們沒有必要出席這個講座。
5040	English is studied all over the world.	世界各地都讀英語。
25647	What makes you think I won't be able to do it?	你怎么认为我做不了？
10381	You can lie to everyone else, but you can't lie to yourself.	你可以向别人撒谎，但你不会向自己撒谎。
3185	I had some calls to make.	我要打几个电话。
15409	I am a college student.	我是一名大学生。
18886	Please pick me up at the airport at five.	請於五點鐘到機場接我。
13085	He sent the letter back unopened.	他把那封信原封不動寄回去了。
26998	He spent his sixtieth birthday in the hospital.	他在医院里过了他的六十岁生日。
543	My son always gets sick when he rides a bus.	我的儿子每次乘坐公交车都会晕车。
19105	Tom isn't the only one here who's a good singer.	汤姆不是这里唯一的好歌手。
28334	It seems that the only time he isn't eating is when he's sleeping.	看来他只有在睡觉时不吃东西。
11288	I did nothing out of the ordinary.	我沒做什麼與眾不同的事。
14595	Later he wrote to the president.	他后来写信给总统。
4588	I'll let Tom tell you.	我会让汤姆告诉你。
25069	She worked from morning till night.	她從早上工作到夜晚。
12798	Tom mopped the floor.	汤姆擦了地板。
21893	The bell rings at eight.	鈴聲在八點鐘響起。
9816	I am pleased with his work.	對於他的工作我很滿意。
15317	Perhaps I'll be able to help you.	我可能能幫你。
18801	I have to say no.	我必须拒绝。
24331	You remind me of a boy I used to know.	你让我想起我过去认识的一个男孩。
13632	That isn't altogether false.	那不全是錯的。
22827	My mother is a good woman.	我媽媽是個好女人。
7159	Can I use my medical insurance?	我可以使用我的醫療保險嗎？
14443	What time will you leave?	你什麼時候離開？
