	eng	fra
40775	Where are the dishes?	Où est la vaisselle ?
33978	Have you met him yet?	L'avez-vous déjà rencontré ?
48809	I've been there once.	J'y ai été une fois.
49828	It was light enough.	Il faisait suffisamment jour.
3787	I didn't understand.	Je n'ai pas compris.
28674	I'd like to stand.	J'aimerais me porter candidat.
3579	You did well, Tom.	Vous avez bien fait, Tom.
3061	The maid made my bed.	La femme de ménage fit mon lit.
10265	The door won't close.	La porte ne se fermera pas.
37172	Get rid of her.	Débarrassez-vous d'elle !
37884	He opened the cages.	Il a ouvert les cages.
906	Have you seen my son?	Avez-vous vu mon fils ?
47081	It's my job.	C'est mon métier.
12535	I'll just leave.	Je vais juste partir.
43164	Can I come in now?	Je peux entrer maintenant ?
16605	The sky is clear.	Le ciel est dégagé.
33429	He has a beard.	Il porte une barbe.
24450	I like your shoes.	J'aime tes chaussures.
17605	I'm old enough.	Je suis suffisamment grand.
14905	I'll be in the attic.	Je serai dans le grenier.
26469	Mom is now in heaven.	Maman est maintenant au ciel.
12748	We can solve this.	Nous pouvons résoudre ceci.
29037	We had no secrets.	Nous n'avions pas de secrets.
21214	We're watching TV.	Nous regardons la télévision.
45996	I don't like eggs.	Je n'aime pas les œufs.
34443	My father works here.	Mon père travaille ici.
1584	I know Tom very well.	Je connais très bien Tom.
20712	They let me go.	Elles m'ont laissé partir.
49327	Have you sold it yet?	L'as-tu déjà vendue ?
47071	Do you have a map?	Est-ce que vous avez une carte ?
43440	Our house is yours.	Notre maison est la vôtre.
5077	I'll go first.	Je passerai en premier.
43510	He drew a deep breath.	Il prit une profonde inspiration.
29184	Get out of this room.	Hors de cette chambre.
3137	I'm not comfortable.	Je ne suis pas à l'aise.
6763	We were both hungry.	Nous avions tous les deux faim.
47713	I had a late lunch.	J'ai pris un déjeuner tardif.
45170	I chose the colors.	J'ai choisi les couleurs.
970	Don't be a sore loser.	Ne sois pas mauvais perdant.
38307	I do it once a year.	Je le fais une fois par an.
12715	You're very curious.	Vous êtes très curieux.
1827	I'm not ugly.	Je ne suis pas laid.
15184	This desk is good.	Ce bureau est bien.
9684	We hugged each other.	Nous nous sommes embrassées.
19350	I'll give it a try.	Je ferai un essai.
18734	I left in a hurry.	Je suis parti à la hâte.
48308	She's a real hottie.	Elle est vraiment une fille ravissante.
31785	I'm feeling low.	Je me sens abattue.
37988	How is your daughter?	Comment se porte ta fille ?
20511	He asked for help.	Il a demandé de l'aide.
43639	What's this called?	Comment nomme-t-on cela ?
28836	I have lots of ideas.	J'ai plein d'idées.
42213	I'm a bit tipsy.	Je suis un peu éméché.
30227	It's not just a game.	Ce n'est pas qu'un jeu.
1339	Which car is yours?	Quelle voiture est la vôtre ?
24117	My boat is small.	Mon bateau est petit.
49981	What's your beef?	C'est quoi ton problème ?
23286	How are you connected?	Comment êtes-vous raccordé ?
31071	We're not prisoners.	Nous ne sommes pas prisonniers.
9929	It's one of mine.	C'est l'une des miennes.
3632	A car hit Tom.	Tom a été renversé par une voiture.
25390	I wanted to laugh.	J'ai voulu rire.
5521	I twisted my ankle.	Je me suis foulé la cheville.
1940	Give me a toothpick.	Donnez-moi un cure-dent.
19012	My arm still hurts.	Mon bras me fait encore mal.
16401	Did you leave a tip?	Tu as laissé un pourboire ?
2827	It's not a gift.	Ce n'est pas un cadeau.
14706	Don't count on them.	Ne comptez pas sur eux.
1921	Your lips are blue.	Vos lèvres sont bleues.
15135	Keep an eye on him.	Garde l'œil sur lui !
34755	Aren't they adorable?	Ne sont-elles pas adorables ?
18493	I'm taller than you.	Je suis plus grand que toi.
46094	I learned it by heart.	Je l'ai appris par cœur.
46158	Let's go into town.	Rendons-nous en ville !
28204	Can you light the way?	Peux-tu éclairer le passage ?
37545	Knock on the door.	Frappe à la porte !
17199	Tom won't give in.	Thomas ne cédera pas.
17586	I'm sorry I hurt you.	Je suis désolée de t'avoir blessé.
34930	I played the flute.	J'ai joué de la flûte.
19035	Be nice to others.	Sois gentil avec les autres !
46796	I made a bad decision.	J'ai pris une mauvaise décision.
10888	He hopes to go abroad.	Il espère aller à l'étranger.
30871	Can you beat that?	Peux-tu battre ça ?
