	eng	kor
541	Why is he staring at me?	그는 왜 날 쳐다보는 거지?
1665	Have you ever been in Australia before?	호주에 가본 적 있어?
3527	Why does Tom hate Boston so much?	왜 톰은 보스턴을 그렇게나 싫어해?
62	Tom gave Mary some advice on how to pass multiple-choice tests.	탐은 메리에게 선다형 시험에 통과하는 방법에 대해 조언했다.
1438	I'm sorry, I can't help you.	미안한데, 내가 도와줄 수가 없어.
666	Tom is living in the apartment that I used to live in.	톰은 내가 한때 살았던 아파트에 살고 있어.
3091	Tom is a decent human being.	톰은 제대로 된 인간이야.
2996	I never should've borrowed money from Tom.	난 톰한테 돈을 절대 빌리지 말았어야 했는데.
2908	Tom looks pretty sleepy.	톰은 상당히 졸려 보인다.
1156	Are you doing what you want to do?	네가 하고 싶은 걸 하고 있어?
3180	The cat prefers fish to meat.	고양이는 고기보다 생선을 선호해.
1469	Tom doesn't know what he'll do.	톰은 그가 뭘 해야 할지 모른다.
2490	How much time will it take to do this?	이걸 하려면 시간이 얼마나 걸려?
1635	Tom is tall for his age.	톰은 나이에 비해 키가 커.
2979	He attributes his success to hard work.	그는 그의 성공을 그가 열심히 일한것에 대해 공을 돌렸다
1568	Many people act like that.	많은 사람들이 저런 식으로 행동해.
2444	Tom didn't seem to be so busy.	톰 별로 안 바빠 보이던데.
890	I may be too old.	난 너무 늙었을지도 몰라.
2791	If walls could talk, what stories would they tell us?	만약 벽이 말을 할 수 있다면, 그 벽이 어떤 이야기를 하게 될까?
1	Tom prevented Mary from doing that.	톰은 메리가 그걸 못 하도록 막았어.
257	I'm way stronger than I used to be.	나는 예전의 나보다 훨씬 강해.
686	All I can do is to do my best.	내가 할 수 있는 건 최선을 다하는 것 뿐이야.
474	This could hurt our business.	이것은 우리 사업을 다치게 할 수도 있다.
2571	Are there any girls here that you haven't yet met?	네가 아직 만난 적 없는 여자애들도 여기 있어?
519	Where am I supposed to sleep?	내가 어디서 자기로 되어 있어?
150	I know a good lawyer who can help you.	당신을 도와줄 수 있는 괜찮은 변호사를 알고 있습니다.
3735	Tom wanted a bigger discount.	톰은 더 할인해 주기를 원했다.
3598	Food and water are extremely limited.	음식과 물이 극히 제한되어 있어.
2199	Tom is bedridden now.	톰은 지금 아파서 누워 있어.
3740	Lack of sleep is bad for the body.	수면 부족은 몸에 나빠.
3771	Tom isn't likely to pass the driving test.	톰은 운전면허 시험에 떨어질 듯 하다.
3817	Tom seemed a little dangerous.	톰은 조금 위험해 보였어.
3488	Don't try to talk. Save your energy.	말하려 하지마. 차라리 에너지를 아껴.
141	Five times five is twenty-five.	오 곱하기 오는 이십오야.
1914	Tom and Mary do as they're told.	톰이랑 메리는 자기들이 말한 대로 하고 있어.
3213	I doubt Tom can do that without some help.	톰이 도움 없이 그걸 잘 해낼 수 있을지 모르겠다.
774	I knew that Tom didn't want to do that again.	난 톰이 저걸 다시는 하기 싫어한다는 걸 알고 있었어.
2886	Weather permitting, we'll start on our trip tomorrow.	날씨가 허락한다면, 우리는 내일 여행을 시작할 것이다.
746	I told Tom not to use those.	난 톰한테 그걸 쓰지 말라고 했는데.
3090	I shouldn't've told you.	너한테 말하지 말았어야 했어.
1890	I wish I'd married another man.	다른 남자와 결혼했다면 좋았을 텐데.
1153	Would you be happier with Tom?	톰과 함께라면 더 행복해질 것 같니?
82	Is there anything you want to tell me?	뭔가 하고 싶은 얘기 없어?
3515	Actually, we don't have a choice.	사실상 우리는 다른 방법이 없다
2013	They speak to each other in French.	그 사람들은 서로 프랑스어로 말해.
513	Tom was diagnosed with autism when he was three years old.	톰은 세살때 자폐즘으로 진단받았어.
2297	We solved that problem in a week.	우리는 그 문제를 일주일 안에 해결했다.
771	Have you ever been hit by a car?	너 차에 치인 적 있어?
1180	He is the dumbest kid in the class.	그는 학급에서 가장 둔한 아이이다.
421	Marriage is the union of a man and woman.	남녀간의 결합을 결혼이라고 하지.
3159	Tom said he was very lonely.	톰이 무척 외로웠다고 말했어.
2982	I'm not going to let you commit suicide.	난 네가 자살하게 내버려 두지 않을 거야.
766	He has an air of mystery about him.	그 사람은 정체불명의 기운을 가지고 있어.
3136	Tom told us not to make any noise.	소음을 내지 말라고 톰이 우리한테 말했어.
3640	I don't want to waste time on this problem.	이런 일에 시간을 낭비하고 싶지 않다.
3495	Tom said he'd be very surprised if Mary didn't win the tournament.	톰은 메리가 토너먼트에서 이기지 못한다면 깜짝 놀랄 것이라고 말했다.
818	Tom has more money than me.	톰은 나보다 돈이 많아.
3054	Have you ever been in jail?	너 감옥에 간 적 있어?
3732	I don't know who started the rumor.	누가 소문을 내기 시작했는지 난 몰라.
3346	I think French is the most beautiful language in the world.	프랑스어는 세상에서 가장 아름다운 언어인 것 같아.
878	You won't believe who came by today.	넌 오늘 누가 왔었는지 못 믿을걸.
2753	Well, you obviously have romantic feelings for Tom.	흠, 너는 확실히 톰에게 연애감정을 가지고 있군.
1104	You can't keep this a secret.	너는 이걸 비밀로 할 수는 없어.
2969	Tom sat in the darkness.	톰은 어둠 속에 앉아 있었어.
1992	You look tired, so you should go to bed early.	피곤해 보이니까 일찍 자는 것이 좋겠다.
3406	I must've lost some weight.	난 아마 살이 좀 빠졌어.
907	I made a really big sandwich for Tom.	난 톰을 위해서 아주 큰 샌드위치를 만들었어.
710	Tom learned French in school.	톰은 학교에서 프랑스어를 배워.
2591	Tom is very tall for his age.	톰은 나이에 비해 키가 매우 커.
1779	I wish I could fly.	내가 날 수 있다면 좋을 텐데.
1210	Two American students live in this dorm.	이 기숙사에는 미국인 학생 두 명이 살고 있다.
2506	He has absolutely no respect for other people's feelings.	그는 타인의 기분은 전혀 존중하지 않는다.
2825	My favorite subject is science.	내가 가장 좋아하는 과목은 과학이야.
738	I don't want to study medicine.	난 의학을 공부하고 싶지 않아.
3242	I met an old friend by chance.	우연히 옛날 친구를 만났어.
1930	I often borrow books from the library.	나는 도서관에서 종종 책을 빌린다.
1609	Tom was wearing a ridiculous hat.	톰은 멍청한 모자를 쓰고 있었어.
1597	Children and drunks don't lie.	아이와 술취한 사람은 거짓말 하지 않는다.
1288	Would you stop doing that?	그것 좀 멈춰 줄래?
289	My son is small for his age.	내 아들은 또래에 비해 키가 작아.
964	Do you like baking cakes?	케이크 굽는 거 좋아해?
2381	I thought Tom would never see you again.	톰이 날 이제 더 이상 날 안 볼 줄 알았어.
789	He breathed deeply before entering his boss's office.	그는 상사의 사무실로 들어가기 전에 심호흡을 했다.
2114	There's so much I don't understand.	내가 이해하지 못하는 것이 너무 많아
2202	Tom turned off his computer.	톰은 자기 컴퓨터를 껐어.
2909	Tom is a pioneer in this field.	톰은 이 분야의 선구자야.
367	Tom has spent the past three years in prison.	톰은 과거 삼 년동안 감옥에 있었어.
1131	Can I borrow your umbrella?	네 우산 좀 빌려 줄래?
868	Do you really think you can convince Tom to do that?	너 정말 톰이 그걸 하도록 설득할 수 있다고 생각해?
343	Is there anything that you want to tell me?	뭔가 하고 싶은 얘기 없어?
1649	Our baby can't talk yet.	우리 아기는 아직 말을 못해.
1139	I hope that we don't have to wait for too long.	많이 안 기다려도 되면 좋겠다
2422	She suffers from low blood pressure.	그 사람은 저혈압에 시달리고 있어.
180	Tom was acting weird.	톰은 이상하게 굴고 있었어.
1646	You're persistent, aren't you?	넌 끈질긴 사람이야, 맞지?
1864	I don't want to suffer.	나는 고통받고 싶지 않아.
3202	I couldn't come to the birthday party.	난 생일 파티에 못 갔어.
2489	Tom was afraid to be here.	톰이 여기에 있길 무서워 했어.
785	My work is not as easy as yours.	내가 하는 일은 네가 하는 것처럼 쉽지 않아.
1014	Sugar is soluble in water.	설탕은 물에 잘 녹아.
3507	He has a deep insight into human psychology.	그 사람은 인간 심리에 높은 식견이 있어.
1648	I don't want to celebrate my birthday.	난 내 생일을 축하하고 싶지 않다.
3806	I think it's hilarious.	정말 웃긴 것 같아.
2906	Tom thinks Mary can understand French.	톰은 메리가 프랑스어를 이해하는 줄 알아.
3765	Tom doesn't have to go to Australia next week.	톰은 다음 주 호주에 가지 않아도 돼.
2884	My English teacher recommended that I read these books.	나의 영어 선생님이 나에게 그 책을 읽으라고 추천하셨다.
1643	I did nothing wrong.	난 잘못한 거 없어.
1158	To be honest with you, I don't think I can do that.	솔칙히 말하면 나는 내가 할 수 있을거란 자신이 없어.
45	I think that French is the most beautiful language in the world.	프랑스어는 세상에서 가장 아름다운 언어인 것 같아.
2638	How long will you be staying there?	거기서 얼마나 기다리고 있을 거야?
2010	Having been convicted of murder, he was sentenced to life imprisonment.	그는 살인죄로 종신형을 선고 받았다.
1175	Tom wants to avoid everything.	톰은 모든 것을 회피하고 싶어해.
1833	Tom is eating potato chips.	톰은 감자칩을 먹고 있어.
3745	I think I can speak French well enough to say pretty much anything I want to say.	나는 내가 말하고 싶은 것은 거의 다 말할 수 있을 정도로 불어를 잘 한다고 생각한다.
2962	Ebola spreads from person to person through bodily fluids.	에볼라는 체액을 통하여 사람에서 사람으로 전파된다.
3671	We had a good time yesterday.	우리는 어제 즐겁게 지냈다.
293	Tom and Mary became very good friends.	톰과 메리는 아주 좋은 친구가 되었다더라.
2869	Could you tell me what that means?	그게 뭘 의미하는 건지 말해줄 수 있을까?
1440	Let's see if we can get inside.	우리가 안으로 들어갈 수 있는지 보자.
2643	You and I have a lot in common.	우리 둘은 공통점이 많네.
200	Don't pry into my private life.	내 사생활은 묻지 말아줘.
1408	Have you ever been engaged?	한번이라도 약혼한 적 있어?
384	Tom still hasn't responded to my email.	톰이 아직도 내 이메일에 답장을 안했어.
2060	We need to review the case.	우리는 그 사건을 검토할 필요가 있다.
1066	That happened over a year ago.	그 일은 일년 전 쯤 일어났다.
3078	She is always at the bottom of the class.	걔는 항상 반에서 꼴찌야.
1935	A dog was following Tom.	개 한 마리가 톰을 따라가고 있었어.
2843	A cute girl caught Tom's eye.	귀여운 여자애가 톰의 눈길을 사로잡았어.
2951	Tom laughed so hard he cried.	톰은 눈물이 날 정도로 웃었어.
2699	This house is not for sale.	이 집은 팔려고 내놓은 집 아니에요.
2278	Remember that we're all in the same boat.	우리 모두가 같은 한 배를 탔다는 걸 기억해라.
1989	Have you studied Darwin's theory of evolution?	다윈의 진화이론을 공부해본 적 있어?
2937	I asked Tom why he wanted to study French.	나는 톰에게 왜 프랑스어를 배우고자했는지 물어봤다.
3685	I thought that you'd forgotten.	네가 잊어버린 건 줄 알았어.
2448	Tom has braided his beard.	톰은 그의 턱수염을 땋았다.
624	He hid himself behind a large rock.	그는 큰 바위 뒤에 숨었다.
994	What's your cat's name?	네 고양이의 이름은 뭐야?
2230	Don't act like you're so innocent.	너 그렇게 순수한 척 하지 마.
3049	Why are you walking so fast?	왜 그렇게 빨리 걸어?
536	Under a microscope, some viruses appear quite beautiful.	현미경 아래에선 몇몇 바이러스는 꽤 아름다워 보여.
672	Why don't you leave me alone?	날 좀 가만히 내버려 둬.
154	I can assure you we'll never make that mistake again.	단언컨대, 우린 절대 그런 실수를 하지 않을 거야.
2401	I have to take the entrance exams next year.	나 내년에 입학시험을 봐야 돼.
1122	Actinium melts at 1,051°C.	악티늄은 1,050°C일 때 녹아.
2285	Do you think we could do that?	우리가 그걸 할 수 있다 생각해?
1017	She looked around the room.	그 사람은 방 주위을 둘러 봤어.
3066	Is there a pharmacy nearby?	이 근처에 약국 있어요?
2076	I didn't want to appear weak.	약해 보이고 싶지 않았어.
3483	My ideas are different from yours.	내 생각은 너와 달라.
3348	Tom and Mary have children.	톰과 메리에게는 자식이 있어.
2885	I'd like to reserve a table for two.	두 명 자리를 예약하고 싶어요.
2335	I have a hard time remembering things.	나는 여러가지를 기억하는 게 힘들어.
2037	I don't lie.	나는 거짓말 하지 않습니다.
1341	Have you ever been to a foreign country?	외국에 나가본 적 있어?
1912	It happened prior to my arrival.	그 일은 내가 도착하기 전에 일어났어.
3836	Tom sees this in a different way.	톰은 이것을 다른 방식으로 본다.
2659	Nothing could sway his conviction.	그 어떤 것도 그의 신념을 꺾을 수 없었다.
3217	I never should've gotten divorced.	난 절대 이혼하지 말았어야 했는데.
1913	I don't really want to learn French.	나는 프랑스어를 진짜 배우고 싶지 않아.
1077	I can't walk fast.	난 빠른 걸음을 할 수 없어.
49	I should've come with you.	너랑 같이 갔어야 했는데.
1429	We graduate from high school at eighteen.	우리는 18살에 고등학교를 졸업합니다.
1128	I love my home.	난 내 집이 좋아.
1565	Tell me what's going on.	무슨 일인지 얘기해 주세요.
2709	I was trying to help you.	난 널 도와주려고 노력하던 중이었어.
1950	I have to give this book to Tom.	톰에게 이 책을 줘야 합니다.
1772	There's no other way to do this.	그걸 하는 데에는 다른 방법이 없어.
1121	Her dress attracted everyone's attention at the party.	그 여자가 파티에 입고 온 드레스가 사람들의 눈길을 끌었지.
392	Is it true that you're a high school teacher?	네가 고등학교 선생님이라는 게 사실이니?
2646	You haven't ever been to Boston, have you?	너 보스턴에 가본 적 없지?
3120	I watched TV after I washed the dishes.	설거지 끝내고 티비 봤어.
3021	I really wanted to help.	난 정말로 돕고 싶었어.
1976	Are you able to play organ?	너 오르간 칠 수 있어?
1898	Most people think I'm crazy.	대부분의 사람들은 내가 미쳤다고 생각해
3370	Tom eats meat, but Mary doesn't.	톰은 마리와는 달리 고기를 먹을 수 있어.
1825	Tom is wearing a blue coat.	톰은 파란색 코트를 입고 있어.
252	Tom is better at French than I am.	톰이 나보다 프랑스어 잘해.
3289	Tom is a very bad person.	톰은 아주 나쁜 사람이야.
3342	She doesn't love me anymore.	그 사람은 나를 더 이상 사랑하지 않아.
940	I want to go to sleep.	나 자러 가고 싶어.
1062	Have you ever dreamed of me?	내 꿈 꿔본 적 있어?
654	I'll stay here till you get back.	나는 네가 돌아올 때까지 여기에 있을 것이다.
