	eng	rus
13664	Do you have them?	Они у тебя есть?
31779	Can I tell Tom?	Я могу Тому сказать?
14393	I got up at seven.	Я встал в семь.
21927	It must be true.	Это, должно быть, правда.
38667	I want to see him.	Я хочу его увидеть.
36960	Wasn't it enough?	Разве этого было недостаточно?
38043	I won't lose it.	Я его не потеряю.
25408	That's all we saw.	Это всё, что мы видели.
30464	Do you have one?	У тебя есть одно?
37499	Just put it here.	Просто поставьте его здесь.
48333	Hope you like it.	Надеюсь, тебе понравится.
39221	I'll be with you.	Я буду с тобой.
48942	We both love Tom.	Мы обе любим Тома.
6154	Did Tom say where?	Том сказал, где это?
8533	I can't say.	Я не могу сказать.
15049	Oh, don't bother.	О, не беспокойся.
4454	Did they have it?	Она у них была?
45989	I have an old car.	У меня старая машина.
28507	We can't stop you.	Мы не можем вас остановить.
12676	I don't feel sick.	Я не чувствую себя больной.
20106	I'll go by subway.	Я поеду на метро.
4715	I do hope so.	Очень надеюсь, что так.
16155	I'm not your wife.	Я тебе не жена.
31495	Tom is your enemy.	Том - ваш враг.
29587	Stay with Tom now.	Побудь сейчас с Томом.
22024	Tom is my enemy.	Том - мой враг.
31729	I must leave you.	Я должен покинуть тебя.
9112	My feet are wet.	У меня ноги мокрые.
39013	Tom told us why.	Том сказал нам почему.
24902	Let us in, please.	Впустите нас, пожалуйста.
11287	Come on, Tom.	Да ладно, Том!
7127	I'm leaving now.	Ну, я пойду.
47292	I had four aces.	У меня было четыре туза.
19433	I do know that.	Конечно, я это знаю.
23414	Tom wouldn't mind.	Том не стал бы возражать.
1344	I said sit down.	Я сказал, сядьте.
40220	I miss the army.	Я скучаю по армии.
30899	I was really sad.	Мне было очень грустно.
21678	I owe Tom my life.	Я обязан Тому жизнью.
4323	I did it already.	Я это уже сделал.
24342	Tom had a choice.	У Тома был выбор.
48830	Would Tom do it?	Том бы сделал это?
25843	I have two books.	У меня есть две книги.
41616	We all thought so.	Мы все так думали.
8417	I'm your boss now.	Я теперь твой начальник.
15979	I'll go on Sunday.	Я пойду в воскресенье.
41020	Let's ask them.	Давайте у них спросим.
31892	I see I was right.	Я вижу, что был прав.
8206	Now I know better.	Теперь я знаю лучше.
27162	What was it for?	Для чего это было?
14315	I have no cousins.	У меня нет двоюродных братьев и сестёр.
36801	I can't do much.	Я мало что могу.
19079	I'd never do that.	Я бы никогда этого не сделал.
30241	I do like fish.	Вообще-то я люблю рыбу.
33712	Do you have a gun?	У тебя есть пистолет?
42440	I won't marry you.	Я не выйду за тебя замуж.
8010	May I borrow it?	Можно мне его одолжить?
25854	I need my coat.	Мне нужно моё пальто.
42840	Don't deceive me.	Тебе меня не провести.
19999	I can afford it.	Я могу себе её позволить.
5645	I was not drunk.	Я не была пьяна.
39963	I have a cut here.	У меня здесь порез.
23957	Now you do it.	Теперь ты делай это.
30658	Tom had to hurry.	Тому надо было спешить.
2570	We'll follow you.	Мы пойдём за вами.
2857	I hate that song.	Я ненавижу это песню.
3837	I did my best.	Я сделал всё от меня зависящее.
40136	We're both fine.	У нас обеих всё в порядке.
43215	Tom didn't buy it.	Том его не купил.
47183	Here, try my pen.	Вот, попробуйте мою ручку.
2919	My dog has fleas.	У моей собаки блохи.
49198	I can't do that.	Я не могу этого сделать.
10077	What must we do?	Что мы должны делать?
22994	Could you help me?	Ты не могла бы мне помочь?
12823	I miss my friend.	Я скучаю по своей подруге.
47408	I didn't find it.	Я её не нашёл.
25513	Tom gave me a key.	Том дал мне ключ.
30856	I'm following Tom.	Я следую за Томом.
11512	I didn't touch it.	Я его не трогал.
47078	Are you really OK?	Вы правда в порядке?
8158	We were so close.	Мы были так близко.
31421	Can you open it?	Вы можете его открыть?
23721	I like this tea.	Мне нравится этот чай.
10784	I was there once.	Я был там один раз.
34694	Do you have one?	А у вас есть?
6484	Even Tom can swim.	Даже Том умеет плавать.
26233	Tom has to go out.	Тому надо куда-нибудь сходить.
2457	I know this joke.	Я этот анекдот знаю.
45034	You have an hour.	У тебя есть час.
46512	How are you, Tom?	Как ты, Том?
15932	She must go there.	Она должна туда пойти.
39427	Tom cooks for us.	Том готовит нам еду.
38870	Isn't it true?	Разве это не так?
11886	A lot is at stake.	Многое поставлено на карту.
6530	Tom has my car.	Моя машина у Тома.
38804	I'm still hungry.	Я всё ещё голодная.
46914	Tom isn't thirsty.	Тому не хочется пить.
44975	I had a cat.	У меня была кошка.
34308	Isn't it exciting?	Разве это не увлекательно?
35387	Who did Tom mean?	Кого имел в виду Том?
39521	I love my wife.	Я люблю свою жену.
21175	OK, try again.	Ладно, попробуйте ещё раз.
38441	Would I kid you?	Стал бы я вас обманывать?
13679	I told Tom myself.	Я сам сказал Тому.
34858	Just put it here.	Просто поставьте её здесь.
9207	Please let me go.	Позвольте мне уйти, пожалуйста.
31887	I let Tom win.	Я дала Тому победить.
13239	I'll work alone.	Я буду работать один.
37688	Get me some, too.	Дай мне тоже немного.
15957	I don't eat ham.	Я не ем ветчину.
38402	Talk to my lawyer.	Поговорите с моим адвокатом.
45473	Don't do it, Tom.	Не делай этого, Том.
5018	I can carry that.	Я могу это понести.
5472	I know that sound.	Мне знаком этот звук.
28709	Can we rent a car?	Мы можем арендовать машину?
21098	I found it myself.	Я сам её нашёл.
39918	My stomach's full.	У меня живот набит.
39086	Let's do this now.	Давай сделаем это сейчас.
5384	I want Tom here.	Я хочу, чтобы Том был здесь.
16718	Can Tom help us?	Том может нам помочь?
48442	Can I sit here?	Можно мне здесь сесть?
15947	I have no home.	У меня нет дома.
22325	How was your day?	Как прошел твой день?
8406	I said I'd go.	Я сказал, что поеду.
10263	I'm in my office.	Я у себя в офисе.
1892	I'm a picky eater.	Я разборчив в еде.
20654	I miss my old job.	Я скучаю по своей старой работе.
9332	Do what I say.	Делай, что я говорю.
45459	I know your type.	Знаю я таких, как ты.
13577	I insist on that.	Я настаиваю на этом.
12273	I saved your life.	Я спас твою жизнь.
29737	Don't go so fast!	Не иди так быстро!
33943	Here, try this.	Вот, попробуй это.
30013	I have a problem.	У меня есть проблема.
27562	I'll go with you.	Я поеду с вами.
26976	Tom was a shy boy.	Том был застенчивым мальчиком.
42895	Can I talk now?	Можно мне сейчас говорить?
3342	He kept it secret.	Он держал это в секрете.
20427	Tom can't fix it.	Том не может это исправить.
44297	It was half full.	Он был заполнен наполовину.
6794	We had a test.	У нас была контрольная.
18322	It was very ugly.	Он был очень некрасивый.
12033	I missed my train.	Я опоздал на свой поезд.
37618	Don't toy with me.	Не играй со мной.
37019	My nose is itchy.	У меня нос зудит.
47421	Who'd you invite?	Кого бы вы пригласили?
36275	It had to be you.	Это должен был быть ты.
28871	We have no time.	У нас нет времени.
27155	This book was new.	Эта книга была новой.
20044	Tom's arm hurts.	У Тома болит рука.
9517	I had a good job.	У меня была хорошая работа.
18990	We can't go.	Мы не сможем пойти.
9166	I'd ask Tom.	Я бы у Тома спросил.
10118	None of us saw it.	Никто из нас не видел этого.
970	Your fly is open!	У тебя ширинка расстёгнута.
10529	I want to be rich.	Я хочу быть богатой.
39412	You'll thank me.	Вы будете меня благодарить.
5105	Tom isn't too old.	Том не слишком старый.
37571	Can you water ski?	Вы умеете кататься на водных лыжах?
5074	I am not busy now.	Я сейчас не занята.
37066	He must be out.	Он, наверное, вышел.
45250	I need a good job.	Мне нужна хорошая работа.
6568	I have a bicycle.	У меня есть велосипед.
22513	Why do you care?	А тебе какое дело?
24091	I don't like tea.	Я не люблю чай.
40693	Stay if you want.	Если хочешь, оставайся.
46052	I'm fine alone.	Мне очень хорошо одному.
35644	Is she all right?	С ней всё в порядке?
46211	Pepper is a spice.	Перец - это специя.
2468	Just do as I say.	Просто делай, как я говорю.
46201	It's probably Tom.	Это, вероятно, Том.
30312	My bag was stolen.	У меня украли сумку.
13532	Can you prove it?	Вы можете это доказать?
10534	I must see it.	Я должна увидеть это.
12666	He is still here.	Он всё ещё здесь.
30223	I can't give up.	Я не могу сдаваться.
16363	I'm not my father.	Я не мой отец.
21935	Please turn it on.	Включи его, пожалуйста.
20061	I could kill you.	Я могла убить тебя.
30041	We all like him.	Мы все его любим.
5241	I knew you'd cry.	Я знал, что ты заплачешь.
5633	Do what you can.	Делай то, что можешь.
46923	I need this money.	Мне нужны эти деньги.
48998	I can play soccer.	Я умею играть в футбол.
11691	Tom is my copilot.	Том мой второй пилот.
39533	I have to go pack.	Мне нужно пойти собрать багаж.
19224	Please don't jump.	Пожалуйста, не прыгай.
40628	Can you jump rope?	Ты умеешь прыгать со скакалкой?
24507	Don't rely on Tom.	Не полагайтесь на Тома.
13515	I was on duty.	Я был на дежурстве.
497	Don't shoot him.	Не стреляйте в него.
41752	I'll go shopping.	Я пойду по магазинам.
35117	I found Tom a job.	Я нашёл Тому работу.
34409	I want to drive.	Я хочу сесть за руль.
13364	I have a new plan.	У меня новый план.
42568	Look at this mess.	Посмотрите на этот бардак.
16615	I don't know you.	Я тебя не знаю.
44412	I have no regrets.	У меня нет никаких сожалений.
36771	Tom made me pay.	Том заставил меня заплатить.
19549	Hi! How are you?	Привет, как дела?
46526	I never asked Tom.	Я никогда не спрашивал Тома.
24852	Tom sang for us.	Том спел для нас.
10994	I talked to Tom.	Я поговорил с Томом.
11579	Tom is on TV.	Тома показывают по телевизору.
34423	Have you gone mad?	Вы с ума сошли?
25143	I'll vote for you.	Я буду голосовать за тебя.
22789	I have bad news.	У меня плохие известия.
33441	I'm fine alone.	Мне очень хорошо одной.
9416	Just please do it.	Просто сделайте это, пожалуйста.
14467	Tom is our guest.	Том - наш гость.
6501	I just noticed it.	Я его только что заметил.
491	I usually eat out.	Я обычно ем вне дома.
2961	I'm now in jail.	Теперь я в тюрьме.
2246	How is Tom doing?	Как у Тома дела?
3260	I will go at 10.	Я пойду в десять.
9775	I may be back.	Я, может быть, вернусь.
37567	My French is good.	У меня хороший французский.
22470	You need me here.	Я тебе здесь нужен.
24295	Go away. I'm busy.	Уходите. Я занята.
15852	Where can we go?	Куда мы можем поехать?
6408	I got another job.	Я получил другую работу.
