,infinitive,conjugate,rule_id,rule_name
0,abacorar,abacoró,01,-Car : -Có
1,abadernar,abadernó,01,-Car : -Có
2,abajar,abajó,01,-Car : -Có
3,abalanzar,abalanzó,01,-Car : -Có
4,abaldonar,abaldonó,01,-Car : -Có
5,abaluartar,abaluartó,01,-Car : -Có
6,abancalar,abancaló,01,-Car : -Có
7,abanderizar,abanderizó,01,-Car : -Có
8,abarcar,abarcó,01,-Car : -Có
9,abarracar,abarracó,01,-Car : -Có
10,abastar,abastó,01,-Car : -Có
11,abastardar,abastardó,01,-Car : -Có
12,abatanar,abatanó,01,-Car : -Có
13,abatir,abatió,04,-Cir : -Ció
14,abatojar,abatojó,01,-Car : -Có
15,abejear,abejeó,02,-Var : -Vó
16,abejorrear,abejorreó,02,-Var : -Vó
17,abeldar,abeldó,01,-Car : -Có
18,abemolar,abemoló,01,-Car : -Có
19,aberrar,aberró,01,-Car : -Có
20,abjurar,abjuró,01,-Car : -Có
21,abluir,abluyó,10,-Vir : -Vyó
22,abocar,abocó,01,-Car : -Có
23,abofetear,abofeteó,02,-Var : -Vó
24,abombar,abombó,01,-Car : -Có
25,abombar,abombó,01,-Car : -Có
26,abonar,abonó,01,-Car : -Có
27,abordar,abordó,01,-Car : -Có
28,aborregar,aborregó,01,-Car : -Có
29,abortar,abortó,01,-Car : -Có
30,abotonar,abotonó,01,-Car : -Có
31,abovedar,abovedó,01,-Car : -Có
32,aboyar,aboyó,01,-Car : -Có
33,abracar,abracó,01,-Car : -Có
34,abrevar,abrevó,01,-Car : -Có
35,abribonar,abribonó,01,-Car : -Có
36,abrir,abrió,04,-Cir : -Ció
37,abrochar,abrochó,01,-Car : -Có
38,abrogar,abrogó,01,-Car : -Có
39,abroncar,abroncó,01,-Car : -Có
40,absolutizar,absolutizó,01,-Car : -Có
41,absolver,absolvió,03,-Cer : -Ció
42,absorber,absorbió,03,-Cer : -Ció
43,abundar,abundó,01,-Car : -Có
44,aburguesar,aburguesó,01,-Car : -Có
45,aburrir,aburrió,04,-Cir : -Ció
46,aburujar,aburujó,01,-Car : -Có
47,acachetear,acacheteó,02,-Var : -Vó
48,academizar,academizó,01,-Car : -Có
49,acairelar,acaireló,01,-Car : -Có
50,acampanar,acampanó,01,-Car : -Có
51,acanalar,acanaló,01,-Car : -Có
52,acaramelar,acarameló,01,-Car : -Có
53,acastillar,acastilló,01,-Car : -Có
54,acaudillar,acaudilló,01,-Car : -Có
55,accidentar,accidentó,01,-Car : -Có
56,acedar,acedó,01,-Car : -Có
57,acensar,acensó,01,-Car : -Có
58,acerar,aceró,01,-Car : -Có
59,acetar,acetó,01,-Car : -Có
60,achaflanar,achaflanó,01,-Car : -Có
61,achantar,achantó,01,-Car : -Có
62,achatarrar,achatarró,01,-Car : -Có
63,achispar,achispó,01,-Car : -Có
64,achuchar,achuchó,01,-Car : -Có
65,acicatear,acicateó,02,-Var : -Vó
66,acidificar,acidificó,01,-Car : -Có
67,acidular,aciduló,01,-Car : -Có
68,acitronar,acitronó,01,-Car : -Có
69,aclimatar,aclimató,01,-Car : -Có
70,acobardar,acobardó,01,-Car : -Có
71,acobijar,acobijó,01,-Car : -Có
72,acojonar,acojonó,01,-Car : -Có
73,acompañar,acompañó,01,-Car : -Có
74,acomplejar,acomplejó,01,-Car : -Có
75,acondicionar,acondicionó,01,-Car : -Có
76,acorar,acoró,01,-Car : -Có
77,acordar,acordó,01,-Car : -Có
