fuñir,fuñó,1b
hablar,habló,0a*
atiesar,atiesó,0a*
allegar,allegó,0a*
judaizar,judaizó,0a*
remudar,remudó,0a*
implorar,imploró,0a*
sollar,solló,0a*
enfrenar,enfrenó,0a*
domeñar,domeñó,0a*
acensar,acensó,0a*
varar,varó,0a*
coeditar,coeditó,0a*
gesticular,gesticuló,0a*
existimar,existimó,0a*
desternillar,desternilló,0a*
chichar,chichó,0a*
compatibilizar,compatibilizó,0a*
acidificar,acidificó,0a*
quelar,queló,0a*
conmocionar,conmocionó,0a*
comulgar,comulgó,0a*
desamistar,desamistó,0a*
funar,funó,0a*
abalanzar,abalanzó,0a*
apoyar,apoyó,0a*
dormitar,dormitó,0a*
holgar,holgó,0a*
documentar,documentó,0a*
inmigrar,inmigró,0a*
soñar,soñó,0a*
juzgar,juzgó,0a*
cebar,cebó,0a*
pialar,pialó,0a*
amonedar,amonedó,0a*
estandarizar,estandarizó,0a*
argayar,argayó,0a*
apanar,apanó,0a*
percolar,percoló,0a*
dementar,dementó,0a*
subclasificar,subclasificó,0a*
solar,soló,0a*
sobrerregular,sobrerreguló,0a*
basar,basó,0a*
denigrar,denigró,0a*
apoquinar,apoquinó,0a*
rehidratar,rehidrató,0a*
desperdigar,desperdigó,0a*
desaconsejar,desaconsejó,0a*
totemizar,totemizó,0a*
exonerar,exoneró,0a*
enllavar,enllavó,0a*
posar,posó,0a*
entrechocar,entrechocó,0a*
sustentar,sustentó,0a*
pasterizar,pasterizó,0a*
endeudar,endeudó,0a*
desenroscar,desenroscó,0a*
perchar,perchó,0a*
turbar,turbó,0a*
misar,misó,0a*
apostillar,apostilló,0a*
aterrizar,aterrizó,0a*
rehilar,rehiló,0a*
fusilar,fusiló,0a*
sobornar,sobornó,0a*
sincerar,sinceró,0a*
repugnar,repugnó,0a*
sublimar,sublimó,0a*
ornar,ornó,0a*
apellidar,apellidó,0a*
amostazar,amostazó,0a*
provincializar,provincializó,0a*
agilipollar,agilipolló,0a*
abjurar,abjuró,0a*
replantar,replantó,0a*
descansar,descansó,0a*
soslayar,soslayó,0a*
salvaguardar,salvaguardó,0a*
meritar,meritó,0a*
surcar,surcó,0a*
destechar,destechó,0a*
estipular,estipuló,0a*
ficcionar,ficcionó,0a*
vezar,vezó,0a*
entripar,entripó,0a*
